iter	RMSE
0	75674.18501
1	74595.31348
2	73470.12456
3	72446.55515
4	71365.084
5	70332.23012
6	69314.75738
7	68271.59738
8	67305.1251
9	66406.55689
10	65544.7788
11	64617.41581
12	63743.08331
13	62864.03616
14	62057.73271
15	61192.69069
16	60354.53838
17	59513.85363
18	58718.3744
19	57926.51379
20	57223.60364
21	56462.14406
22	55770.61998
23	55056.37413
24	54412.13754
25	53733.11078
26	53039.09051
27	52365.81336
28	51718.67615
29	51110.68293
30	50507.05672
31	49932.03625
32	49391.46392
33	48842.05437
34	48278.1533
35	47758.7339
36	47220.36352
37	46721.87428
38	46194.04231
39	45695.21425
40	45176.11633
41	44671.1826
42	44188.63727
43	43711.64127
44	43245.74334
45	42785.24341
46	42410.37246
47	41963.98217
48	41525.03701
49	41077.37564
50	40668.22667
51	40289.06564
52	39891.88059
53	39515.09101
54	39127.72787
55	38746.7838
56	38381.07273
57	37989.91359
58	37641.58335
59	37304.05551
60	36956.28567
61	36618.86194
62	36289.73191
63	35988.86857
64	35664.15415
65	35338.34688
66	35061.57518
67	34764.77204
68	34485.04649
69	34221.84696
70	33943.47274
71	33668.79115
72	33418.05263
73	33173.35343
74	32934.92648
75	32679.47876
76	32431.81172
77	32200.40297
78	31973.41057
79	31721.00592
80	31503.24972
81	31312.55618
82	31105.90446
83	30886.93405
84	30675.83597
85	30491.19784
86	30298.37607
87	30119.54965
88	29922.07543
89	29732.70921
90	29558.31019
91	29389.8663
92	29240.23724
93	29049.59751
94	28921.01489
95	28738.08384
96	28571.47536
97	28429.28626
98	28255.13941
99	28103.27646
100	27936.28955
101	27798.29255
102	27651.32565
103	27516.00893
104	27361.51811
105	27223.80263
106	27075.47037
107	26925.5324
108	26805.81424
109	26673.49701
110	26552.24401
111	26436.04195
112	26319.44528
113	26207.7958
114	26096.03373
115	25989.267
116	25879.79887
117	25766.85781
118	25660.36159
119	25545.58989
120	25437.03776
121	25339.27514
122	25253.31824
123	25165.14249
124	25072.21534
125	24959.86418
126	24860.6885
127	24763.67324
128	24673.07478
129	24580.01603
130	24477.06918
131	24396.22017
132	24315.19355
133	24254.25266
134	24172.44466
135	24086.64543
136	24009.44789
137	23926.65376
138	23838.78586
139	23758.61378
140	23680.33412
141	23616.90528
142	23539.83017
143	23463.69581
144	23394.61249
145	23321.48449
146	23256.03965
147	23173.18487
148	23095.203
149	23030.81961
150	22966.87067
151	22927.65452
152	22872.27349
153	22814.75745
154	22759.26501
155	22700.38482
156	22644.84283
157	22585.12258
158	22515.44616
159	22458.34998
160	22402.7582
161	22343.88971
162	22278.22353
163	22219.97004
164	22162.04882
165	22119.65142
166	22066.57083
167	22014.7904
168	21963.96873
169	21923.78275
170	21869.36201
171	21817.93826
172	21776.97977
173	21734.22195
174	21699.59676
175	21643.70511
176	21599.32509
177	21556.85399
178	21505.11212
179	21462.27524
180	21421.92594
181	21379.08432
182	21338.65646
183	21293.84795
184	21257.45007
185	21221.04351
186	21187.38601
187	21154.3904
188	21125.06092
189	21086.62228
190	21043.23933
191	20996.46281
192	20964.67041
193	20935.08476
194	20900.23452
195	20856.18143
196	20833.16857
197	20805.55853
198	20772.66831
199	20738.7089
200	20709.26247
201	20674.73454
202	20641.74597
203	20615.87804
204	20582.48435
205	20547.02962
206	20514.39332
207	20487.32111
208	20456.13386
209	20423.28509
210	20386.48684
211	20355.61933
212	20321.62573
213	20296.38328
214	20268.15619
215	20230.40207
216	20204.75477
217	20171.4922
218	20146.59987
219	20123.36733
220	20087.90344
221	20048.65087
222	20026.48499
223	20001.91676
224	19985.13388
225	19946.30823
226	19925.43655
227	19905.21038
228	19888.41948
229	19852.47136
230	19834.4315
231	19811.6672
232	19788.4388
233	19759.5157
234	19727.18665
235	19708.1713
236	19685.08406
237	19662.9456
238	19642.54415
239	19618.54554
240	19592.76097
241	19568.9757
242	19542.35128
243	19521.8656
244	19492.82532
245	19462.86239
246	19442.00813
247	19429.48116
248	19409.10039
249	19390.02293
250	19363.78215
251	19351.92587
252	19330.12211
253	19309.52394
254	19282.32566
255	19264.70105
256	19243.65846
257	19225.73897
258	19200.25725
259	19186.39647
260	19166.5289
261	19151.04912
262	19129.35179
263	19108.25814
264	19084.43192
265	19064.00932
266	19043.11495
267	19027.39981
268	19003.23955
269	18986.93265
270	18968.87282
271	18945.48609
272	18915.35397
273	18897.7159
274	18885.25822
275	18863.64352
276	18839.18484
277	18816.7864
278	18798.36587
279	18787.67012
280	18773.944
281	18764.04469
282	18746.25551
283	18734.14802
284	18714.5862
285	18697.14061
286	18676.92013
287	18664.75653
288	18649.17886
289	18627.74667
290	18612.13489
291	18595.29002
292	18567.59053
293	18546.27908
294	18524.17758
295	18513.11406
296	18496.93544
297	18473.71706
298	18456.37176
299	18443.30956
300	18419.1417
301	18398.05088
302	18362.95832
303	18344.31897
304	18317.94097
305	18294.15577
306	18276.24093
307	18257.28475
308	18242.88937
309	18230.64756
310	18213.57429
311	18189.76397
312	18175.59283
313	18165.97997
314	18154.06002
315	18133.80376
316	18115.15656
317	18095.47046
318	18080.99379
319	18060.82539
320	18035.05252
321	18023.97165
322	18009.13341
323	17986.4936
324	17968.84375
325	17958.92432
326	17952.39281
327	17939.00561
328	17921.47627
329	17907.46344
330	17896.73441
331	17886.19547
332	17878.64071
333	17862.36778
334	17847.20185
335	17834.97713
336	17818.83098
337	17809.16508
338	17798.25958
339	17780.51533
340	17766.32785
341	17744.09274
342	17726.39309
343	17706.45358
344	17691.70926
345	17679.19855
346	17664.43995
347	17652.37033
348	17636.65013
349	17621.55512
350	17593.3814
351	17583.37143
352	17570.81778
353	17556.35877
354	17543.63651
355	17528.17948
356	17512.14149
357	17504.85234
358	17488.60029
359	17473.50452
360	17461.69116
361	17447.98668
362	17436.69015
363	17427.42799
364	17416.78389
365	17407.94293
366	17388.95679
367	17374.67361
368	17362.01703
369	17345.25841
370	17335.25068
371	17326.28892
372	17309.6844
373	17303.51437
374	17287.9708
375	17274.11237
376	17267.22022
377	17252.94197
378	17239.83996
379	17225.79508
380	17207.33142
381	17194.16307
382	17178.29232
383	17171.73832
384	17160.53466
385	17147.74107
386	17129.55369
387	17125.66733
388	17116.13791
389	17109.43733
390	17096.87626
391	17087.33856
392	17080.01712
393	17067.96905
394	17058.54938
395	17046.89961
396	17035.17004
397	17025.46342
398	17011.76118
399	17005.05467
400	16995.19842
401	16990.40178
402	16978.64867
403	16974.90634
404	16967.96768
405	16953.22318
406	16940.30365
407	16922.90927
408	16917.0344
409	16906.44019
410	16893.07787
411	16880.5698
412	16869.28103
413	16861.10231
414	16844.4522
415	16831.66149
416	16819.481
417	16798.34938
418	16783.64061
419	16772.17869
420	16766.20382
421	16751.95068
422	16745.21308
423	16727.9004
424	16712.30307
425	16705.50431
426	16700.73487
427	16683.74952
428	16668.12813
429	16664.60259
430	16654.23859
431	16630.71081
432	16617.20385
433	16613.37232
434	16599.75812
435	16594.23129
436	16588.13734
437	16583.3897
438	16573.68439
439	16567.96187
440	16553.07832
441	16547.89602
442	16529.14973
443	16516.52448
444	16509.51307
445	16498.96947
446	16496.50437
447	16486.70324
448	16478.07035
449	16470.98325
450	16463.75294
451	16458.31734
452	16440.35721
453	16426.10716
454	16416.38142
455	16409.58436
456	16392.55333
457	16369.71653
458	16364.47257
459	16351.74478
460	16345.20516
461	16329.24749
462	16318.75841
463	16308.78214
464	16293.80926
465	16288.51145
466	16276.19895
467	16274.74518
468	16271.58061
469	16269.3356
470	16255.97934
471	16246.58248
472	16229.99418
473	16227.43516
474	16220.96578
475	16204.70757
476	16196.51646
477	16176.46876
478	16167.72545
479	16161.82826
480	16158.80998
481	16146.26496
482	16135.80427
483	16129.78399
484	16121.43011
485	16118.44435
486	16108.67226
487	16100.83231
488	16090.43538
489	16084.26939
490	16083.01859
491	16073.19196
492	16060.51786
493	16047.41308
494	16042.97361
495	16030.4161
496	16014.7303
497	16010.29829
498	15994.34334
499	15986.52061
