iter	Passed	Remaining
0	39	199769
1	76	191105
2	141	236307
3	305	381321
4	320	320357
5	331	275748
6	355	253309
7	396	247383
8	479	266119
9	488	243827
10	505	229220
11	517	215168
12	531	204000
13	541	192983
14	554	184296
15	567	176732
16	574	168529
17	583	161588
18	591	155052
19	604	150532
20	614	145598
21	618	140032
22	626	135628
23	631	130907
24	640	127478
25	664	127118
26	678	125032
27	701	124603
28	716	122825
29	727	120484
30	735	117846
31	746	115911
32	756	113810
33	762	111346
34	766	108696
35	773	106724
36	782	104935
37	788	103006
38	799	101694
39	808	100272
40	812	98302
41	816	96435
42	823	94948
43	827	93236
44	832	91633
45	839	90375
46	846	89221
47	855	88272
48	859	86875
49	865	85653
50	871	84604
51	876	83388
52	880	82206
53	887	81253
54	895	80526
55	905	79953
56	910	78921
57	914	77914
58	921	77178
59	929	76537
60	942	76310
61	958	76339
62	968	75873
63	979	75532
64	987	74987
65	997	74569
66	1005	74055
67	1009	73245
68	1015	72541
69	1021	71940
70	1028	71370
71	1035	70875
72	1044	70463
73	1054	70168
74	1058	69514
75	1063	68887
76	1072	68538
77	1078	68058
78	1088	67786
79	1101	67729
80	1108	67331
81	1117	67013
82	1124	66643
83	1130	66148
84	1139	65907
85	1150	65758
86	1155	65238
87	1159	64739
88	1165	64298
89	1173	64012
90	1178	63553
91	1187	63363
92	1194	63039
93	1203	62789
94	1207	62337
95	1211	61907
96	1218	61584
97	1222	61132
98	1227	60752
99	1235	60528
100	1242	60279
101	1250	60061
102	1254	59663
103	1259	59288
104	1269	59169
105	1275	58891
106	1283	58699
107	1291	58480
108	1299	58293
109	1303	57930
110	1406	61933
111	1498	65378
112	1505	65128
113	1515	64956
114	1523	64701
115	1535	64643
116	1578	65898
117	1614	66790
118	1823	74789
119	1840	74840
120	1848	74533
121	1853	74099
122	1858	73709
123	1865	73374
124	1871	72992
125	1879	72713
126	1889	72483
127	1898	72266
128	1903	71868
129	1916	71788
130	1921	71407
131	1934	71353
132	1952	71446
133	1960	71192
134	1967	70896
135	1971	70514
136	1984	70441
137	2000	70492
138	2013	70405
139	2017	70038
140	2025	69787
141	2036	69664
142	2048	69593
143	2053	69262
144	2061	69025
145	2066	68706
146	2071	68376
147	2086	68388
148	2096	68241
149	2099	67897
150	2105	67620
151	2111	67340
152	2115	67015
153	2119	66687
154	2130	66591
155	2140	66470
156	2146	66219
157	2150	65898
158	2156	65669
159	2160	65365
160	2164	65052
161	2169	64781
162	2180	64703
163	2189	64564
164	2193	64287
165	2201	64120
166	2212	64017
167	2218	63811
168	2230	63769
169	2240	63666
170	2244	63380
171	2248	63112
172	2250	62791
173	2257	62610
174	2261	62358
175	2265	62104
176	2272	61928
177	2281	61815
178	2289	61668
179	2293	61421
180	2297	61180
181	2304	61000
182	2308	60767
183	2312	60520
184	2316	60294
185	2325	60183
186	2334	60092
187	2340	59899
188	2348	59793
189	2354	59603
190	2358	59385
191	2362	59166
192	2371	59060
193	2381	58991
194	2390	58909
195	2394	58687
196	2399	58490
197	2406	58356
198	2409	58141
199	2417	58029
200	2424	57881
201	2435	57837
202	2438	57633
203	2443	57447
204	2448	57264
205	2454	57121
206	2458	56916
207	2461	56714
208	2470	56641
209	2797	63800
210	2905	65947
211	2933	66248
212	2942	66141
213	2956	66128
214	2974	66201
215	2995	66344
216	3005	66250
217	3017	66185
218	3033	66225
219	3040	66060
220	3054	66042
221	3081	66317
222	3100	66412
223	3112	66361
224	3131	66452
225	3141	66355
226	3150	66253
227	3158	66117
228	3173	66121
229	3189	66141
230	3209	66260
231	3230	66386
232	3250	66505
233	3270	66606
234	3299	66909
235	3309	66807
236	3321	66759
237	3330	66644
238	3335	66435
239	3338	66215
240	3345	66055
241	3350	65876
242	3353	65658
243	3358	65461
244	3365	65320
245	3373	65184
246	3384	65127
247	3388	64931
248	3395	64787
249	3400	64602
250	3404	64407
251	3410	64257
252	3417	64114
253	3421	63938
254	3429	63810
255	3433	63618
256	3436	63427
257	3442	63272
258	3450	63153
259	3460	63088
260	3469	63004
261	3481	62967
262	3486	62802
263	3493	62671
264	3497	62488
265	3502	62329
266	3509	62213
267	3515	62067
268	3519	61903
269	3526	61779
270	3530	61601
271	3533	61424
272	3537	61255
273	3543	61125
274	3547	60950
275	3549	60760
276	3559	60691
277	3566	60572
278	3582	60613
279	3591	60538
280	3595	60375
281	3602	60273
282	3610	60182
283	3620	60116
284	3630	60055
285	3635	59925
286	3646	59873
287	3656	59826
288	3664	59727
289	3670	59606
