iter	RMSE
0	75627.43509
1	74478.32313
2	73335.80733
3	72211.44014
4	71113.46891
5	70070.94496
6	68976.69623
7	67908.89093
8	66933.00763
9	65964.5745
10	64946.58704
11	64051.05253
12	63124.92025
13	62203.67143
14	61343.55149
15	60516.4936
16	59626.38101
17	58828.09695
18	58008.66434
19	57174.59834
20	56405.78495
21	55681.20301
22	54940.04862
23	54224.31643
24	53472.8752
25	52759.65831
26	52066.64576
27	51400.69229
28	50728.27364
29	50140.92812
30	49547.34477
31	49015.67482
32	48402.5521
33	47815.19539
34	47255.3117
35	46675.9083
36	46129.90014
37	45608.29113
38	45063.93903
39	44579.76303
40	44116.32098
41	43676.79871
42	43167.0076
43	42713.77087
44	42226.61399
45	41772.73805
46	41350.20382
47	40910.84921
48	40510.46066
49	40110.24604
50	39711.09075
51	39371.97896
52	38963.04525
53	38606.73369
54	38261.90685
55	37869.41869
56	37525.75404
57	37196.41822
58	36883.60634
59	36546.83857
60	36206.72297
61	35900.81543
62	35595.57105
63	35300.45697
64	35020.16815
65	34757.58333
66	34482.35957
67	34226.63335
68	33974.27803
69	33691.50741
70	33449.75014
71	33190.91123
72	32960.27121
73	32728.08318
74	32494.03704
75	32249.0305
76	32036.83198
77	31823.9474
78	31606.11595
79	31406.46259
80	31200.86314
81	31035.55139
82	30853.88692
83	30642.70001
84	30461.01263
85	30270.95191
86	30091.34202
87	29924.45338
88	29763.20808
89	29600.3413
90	29457.90412
91	29311.29226
92	29148.913
93	28994.56872
94	28845.62819
95	28687.05512
96	28537.53588
97	28397.54833
98	28266.00591
99	28111.09243
100	27964.20457
101	27832.93481
102	27709.25273
103	27582.08235
104	27457.82136
105	27332.25984
106	27233.35101
107	27095.66396
108	26970.58724
109	26848.20793
110	26732.00746
111	26625.35967
112	26511.97753
113	26405.01877
114	26299.56659
115	26206.87957
116	26113.87215
117	26022.40024
118	25929.95015
119	25847.7859
120	25764.12259
121	25678.2409
122	25606.97432
123	25524.30181
124	25441.48106
125	25369.61804
126	25296.06062
127	25220.88898
128	25147.51666
129	25072.92657
