iter	Passed	Remaining
0	11	56266
1	26	65682
2	36	60937
3	46	57487
4	66	66003
5	82	68309
6	99	70880
7	116	72875
8	135	74917
9	149	74681
10	159	72528
11	168	69859
12	174	67092
13	183	65394
14	193	64157
15	202	63009
16	206	60478
17	213	59047
18	219	57530
19	224	55811
20	230	54575
21	235	53247
22	239	51905
23	245	51000
24	249	49638
25	253	48590
26	258	47596
27	263	46864
28	267	45834
29	272	45065
30	277	44519
31	281	43710
32	285	42937
33	290	42417
34	296	42130
35	300	41475
36	305	40973
37	311	40662
38	315	40135
39	319	39652
40	324	39236
41	334	39481
42	340	39249
43	345	38934
44	348	38380
45	350	37735
46	353	37266
47	356	36742
48	359	36346
49	361	35790
50	363	35277
51	365	34764
52	367	34310
53	369	33888
54	373	33606
55	377	33303
56	379	32907
57	381	32512
58	385	32281
59	390	32161
60	392	31809
61	394	31447
62	396	31081
63	398	30738
64	401	30514
65	406	30388
66	408	30079
67	410	29777
68	412	29489
69	414	29209
70	418	29035
71	424	29063
72	428	28923
73	430	28653
74	433	28485
75	437	28363
76	440	28169
77	442	27921
78	444	27692
79	446	27457
80	449	27324
81	452	27147
82	457	27081
83	461	26982
84	465	26941
85	471	26952
86	475	26844
87	479	26743
88	487	26878
89	493	26904
90	498	26906
91	506	27011
92	509	26895
93	511	26717
94	514	26582
95	521	26648
96	525	26576
97	530	26524
98	535	26531
99	538	26382
100	541	26246
101	542	26069
102	546	25971
103	553	26061
104	558	26047
105	565	26129
106	572	26164
107	578	26206
108	586	26303
109	593	26367
110	601	26508
111	605	26442
112	609	26360
113	613	26303
114	620	26345
115	623	26256
116	625	26109
117	630	26080
118	634	26011
119	635	25863
120	638	25731
121	640	25592
122	642	25470
123	645	25364
124	649	25311
125	650	25171
126	653	25090
127	659	25104
128	666	25176
129	672	25181
130	677	25164
131	683	25206
132	689	25216
133	694	25222
134	699	25195
135	702	25118
136	704	24995
137	705	24867
138	708	24784
139	714	24818
140	719	24789
141	721	24678
142	723	24565
143	727	24548
144	733	24558
145	735	24445
146	737	24337
147	739	24235
148	742	24174
149	746	24123
150	748	24021
151	749	23917
152	751	23822
153	753	23718
154	756	23636
155	758	23564
156	763	23537
157	765	23449
158	767	23356
159	769	23271
160	772	23213
161	776	23192
162	779	23120
163	780	23029
164	782	22941
165	784	22856
166	787	22792
167	791	22756
168	794	22722
169	797	22648
170	798	22555
171	800	22472
172	802	22403
173	807	22407
174	814	22444
175	816	22371
176	818	22299
177	822	22292
178	826	22257
179	828	22185
180	830	22120
181	832	22045
182	834	21966
183	838	21946
184	841	21913
185	843	21838
186	845	21771
187	847	21701
188	849	21636
189	852	21584
190	857	21585
191	859	21518
192	861	21448
193	863	21385
194	864	21309
195	867	21263
196	871	21254
197	875	21239
198	877	21176
199	879	21109
200	880	21028
201	883	20978
202	887	20980
203	890	20930
204	892	20869
205	894	20806
206	896	20747
207	898	20689
208	900	20653
209	907	20689
210	911	20689
211	915	20665
212	919	20674
213	922	20635
214	924	20578
215	926	20521
216	928	20462
217	931	20438
218	934	20391
219	939	20413
220	1275	27576
221	1436	30921
222	1442	30902
223	1457	31076
224	1464	31074
225	1477	31201
226	1482	31176
227	1490	31190
228	1498	31213
229	1508	31280
230	1515	31291
231	1522	31288
232	1541	31534
233	1560	31791
234	1585	32156
235	1591	32131
236	1602	32203
237	1620	32423
238	1626	32404
239	1734	34404
240	1776	35089
241	1787	35137
242	1792	35089
243	1799	35075
244	1805	35033
245	1810	34986
246	1819	35015
247	1822	34930
248	1824	34818
249	1828	34745
250	1832	34671
251	1834	34563
252	1836	34454
253	1838	34346
254	1839	34228
255	1841	34124
256	1844	34038
257	1848	33978
258	1851	33887
259	1853	33793
260	1859	33767
261	1866	33747
262	1870	33694
263	1872	33594
264	1875	33507
265	1879	33452
266	1881	33356
267	1886	33307
268	1891	33268
269	1897	33245
270	1901	33187
271	1907	33157
272	1919	33237
273	1926	33228
274	1932	33208
275	1937	33161
276	1942	33125
277	1949	33119
278	1954	33072
279	1957	32999
280	1963	32969
281	1967	32923
282	1969	32829
283	1974	32788
284	1981	32780
285	1986	32735
286	1990	32692
287	1997	32679
288	2002	32645
289	2013	32700
290	2018	32657
291	2019	32567
292	2023	32503
293	2027	32452
294	2029	32366
295	2031	32280
296	2033	32197
297	2034	32107
298	2037	32032
299	2039	31951
300	2044	31917
301	2046	31831
302	2047	31745
303	2050	31669
304	2054	31623
305	2060	31612
306	2067	31608
307	2072	31578
308	2078	31561
309	2084	31529
310	2090	31520
311	2093	31455
312	2095	31374
313	2097	31295
314	2100	31238
315	2107	31231
316	2113	31222
317	2115	31150
318	2116	31056
319	2119	30994
320	2122	30941
321	2125	30875
322	2127	30800
323	2128	30722
324	2130	30644
325	2132	30570
326	2135	30511
327	2138	30455
328	2141	30407
329	2144	30340
330	2146	30283
331	2151	30244
332	2157	30233
333	2160	30186
334	2162	30119
335	2164	30050
336	2167	29996
337	2172	29960
338	2173	29890
339	2175	29822
340	2177	29754
341	2179	29689
342	2182	29632
343	2186	29598
344	2188	29535
345	2191	29475
346	2197	29465
347	2209	29540
348	2215	29528
349	2222	29525
350	2227	29498
351	2231	29471
352	2239	29478
353	2242	29437
354	2250	29447
355	2259	29472
356	2262	29427
357	2268	29408
358	2270	29357
359	2272	29295
360	2275	29237
361	2277	29173
362	2278	29111
363	2283	29084
364	2288	29061
365	2291	29009
366	2295	28974
367	2302	28985
368	2310	29003
369	2319	29020
370	2322	28981
371	2324	28923
372	2327	28867
373	2329	28814
374	2333	28778
375	2335	28723
376	2337	28666
377	2339	28606
378	2356	28733
379	2365	28764
380	2370	28743
381	2376	28724
382	2382	28724
383	2387	28705
384	2402	28798
385	2410	28808
386	2417	28819
387	2424	28819
388	2462	29193
389	2572	30405
390	2687	31678
391	2706	31810
392	2711	31791
393	2718	31781
394	2723	31749
395	2728	31719
396	2734	31709
397	2741	31694
398	2755	31778
399	2761	31755
400	2767	31745
401	2772	31714
